year,name,team
1986,Christian Vanderpleyn,AGS
1987,Christian Vanderpleyn,AGS
1988,Christian Vanderpleyn,AGS
1989,Claude Galopin,AGS
1990,Michel Costa,AGS
1991,Christian Vanderpleyn,AGS
1978,Robin Herd,ATS
1979,John Gentry,ATS
1980,Gustav Brunner,ATS
1981,Hervé Guilpin,ATS
1983,Gustav Brunner,ATS
1984,Gustav Brunner,ATS
1950,Gioacchino Colombo,Alfa Romeo
1951,Gioacchino Colombo,Alfa Romeo
1979,Carlo Chiti,Alfa Romeo
1980,Carlo Chiti,Alfa Romeo
1981,Carlo Chiti,Alfa Romeo
1982,Gerard Ducarouge,Alfa Romeo
1983,Gerard Ducarouge,Alfa Romeo
1984,Luigi Marmiroli,Alfa Romeo
1985,Mario Tollentino,Alfa Romeo
2019,Simone Resta,Alfa Romeo
2020,Jean Monchaux,Alfa Romeo
2021,Jean Monchaux,Alfa Romeo
2022,Jean Monchaux,Alfa Romeo
2023,Jean Monchaux,Alfa Romeo
2020,Jody Egginton,AlphaTauri
2021,Jody Egginton,AlphaTauri
2022,Jody Egginton,AlphaTauri
2023,Jody Egginton,AlphaTauri
2021,Pat Fry,Alpine
2022,Pat Fry,Alpine
2023,Pat Fry,Alpine
2024,Matt Harman,Alpine
2025,David Sanchez,Alpine
1978,Tony Southgate,Arrows
1979,Tony Southgate,Arrows
1980,Tony Southgate,Arrows
1981,Tony Southgate,Arrows
1982,Dave Wass,Arrows
1983,Dave Wass,Arrows
1984,Dave Wass,Arrows
1985,Dave Wass,Arrows
1986,Dave Wass,Arrows
1987,Ross Brawn,Arrows
1988,Ross Brawn,Arrows
1989,Ross Brawn,Arrows
1997,Frank Dernie,Arrows
1998,John Barnard,Arrows
1999,Mike Coughlan,Arrows
2000,Mike Coughlan,Arrows
2001,Mike Coughlan,Arrows
2002,Mike Coughlan,Arrows
1959,Ted Cutting,Aston Martin
1960,Ted Cutting,Aston Martin
2021,Andy Green,Aston Martin
2022,Andy Green,Aston Martin
2023,Dan Fallows,Aston Martin
2024,Dan Fallows,Aston Martin
2025,Bob Bell,Aston Martin
1999,Adrian Reynard,BAR
2000,AAdrian Reynard,BAR
2001,Malcolm Oastler,BAR
2002,Malcolm Oastler,BAR
2003,Geoffrey Willis,BAR
2004,Geoffrey Willis,BAR
2005,Geoffrey Willis,BAR
2006,Willy Rampf,BMW Sauber
2007,Willy Rampf,BMW Sauber
2008,Willy Rampf,BMW Sauber
2009,Willy Rampf,BMW Sauber
1951,Peter Berthon,BRM
1952,Peter Berthon,BRM
1953,Peter Berthon,BRM
1954,Peter Berthon,BRM
1955,Peter Berthon,BRM
1956,Peter Berthon,BRM
1957,Peter Berthon,BRM
1958,Peter Berthon,BRM
1959,Peter Berthon,BRM
1960,Tony Rudd,BRM
1961,Tony Rudd,BRM
