year,name,team
1986,Henri Julien,AGS
1987,Henri Julien,AGS
1988,Henri Julien,AGS
1989,Henri Julien,AGS
1989,Cyril de Rouvre,AGS
1990,Cyril de Rouvre,AGS
1991,Cyril de Rouvre,AGS
1977,Günter Schmid,ATS
1978,Günter Schmid,ATS
1979,Günter Schmid,ATS
1980,Günter Schmid,ATS
1981,Günter Schmid,ATS
1982,Günter Schmid,ATS
1983,Günter Schmid,ATS
1984,Günter Schmid,ATS
1950,Gianbattista Guidotti,Alfa Romeo
1951,Gianbattista Guidotti,Alfa Romeo
1979,Carlo Chiti,Alfa Romeo
1980,Carlo Chiti,Alfa Romeo
1981,Carlo Chiti,Alfa Romeo
1982,Carlo Chiti,Alfa Romeo
1983,Carlo Chiti,Alfa Romeo
1984,Carlo Chiti,Alfa Romeo
1985,Carlo Chiti,Alfa Romeo
2019,Frédéric Vasseur,Alfa Romeo
2020,Frédéric Vasseur,Alfa Romeo
2021,Frédéric Vasseur,Alfa Romeo
2022,Frédéric Vasseur,Alfa Romeo
2023,Alessandro Alunni Bravi,Alfa Romeo
2020,Franz Tost,AlphaTauri
2021,Franz Tost,AlphaTauri
2022,Franz Tost,AlphaTauri
2023,Franz Tost,AlphaTauri
2021,Marcin Budkowski,Alpine
2022,Otmar Szafnauer,Alpine
2023,Otmar Szafnauer,Alpine
2024,Bruno Famin,Alpine
2025,Oliver Oakes,Alpine
2026,Oliver Oakes,Alpine
1978,Jackie Oliver,Arrows
1979,Jackie Oliver,Arrows
1980,Jackie Oliver,Arrows
1981,Jackie Oliver,Arrows
1982,Jackie Oliver,Arrows
1983,Jackie Oliver,Arrows
1984,Jackie Oliver,Arrows
1985,Jackie Oliver,Arrows
1986,Jackie Oliver,Arrows
1987,Jackie Oliver,Arrows
1988,Jackie Oliver,Arrows
1989,Jackie Oliver,Arrows
1990,Jackie Oliver,Arrows
1991,Jackie Oliver,Arrows
1992,Jackie Oliver,Arrows
1993,Jackie Oliver,Arrows
1994,Jackie Oliver,Arrows
1995,Jackie Oliver,Arrows
1996,Jackie Oliver,Arrows
1997,Tom Walkinshaw,Arrows
1998,Tom Walkinshaw,Arrows
1999,Tom Walkinshaw,Arrows
2000,Tom Walkinshaw,Arrows
2001,Tom Walkinshaw,Arrows
2002,Tom Walkinshaw,Arrows
2021,Otmar Szafnauer,Aston Martin
2022,Mike Krack,Aston Martin
2023,Mike Krack,Aston Martin
2024,Mike Krack,Aston Martin
2025,Mike Krack,Aston Martin
2026,Mike Krack,Aston Martin
2026,Mattia Binotto,Audi
1999,Craig Pollock,BAR
2000,Craig Pollock,BAR
2001,Craig Pollock,BAR
2002,David Richards,BAR
2003,David Richards,BAR
2004,David Richards,BAR
2005,Nick Fry,BAR
2006,Mario Theissen,BMW Sauber
2007,Mario Theissen,BMW Sauber
2008,Mario Theissen,BMW Sauber
2009,Mario Theissen,BMW Sauber
1950,Louis Stanley,BRM
1951,Louis Stanley,BRM
1952,Louis Stanley,BRM
1953,Louis Stanley,BRM
1954,Louis Stanley,BRM
1955,Louis Stanley,BRM
1956,Louis Stanley,BRM
1957,Louis Stanley,BRM
1958,Louis Stanley,BRM
1959,Louis Stanley,BRM
1960,Louis Stanley,BRM
1961,Louis Stanley,BRM
1962,Louis Stanley,BRM
1963,Louis Stanley,BRM
1964,Louis Stanley,BRM
1965,Louis Stanley,BRM
1966,Louis Stanley,BRM
1967,Louis Stanley,BRM
1968,Louis Stanley,BRM
1969,Louis Stanley,BRM
1970,Louis Stanley,BRM
1971,Louis Stanley,BRM
1972,Louis Stanley,BRM
1973,Louis Stanley,BRM
1974,Louis Stanley,BRM
1975,Louis Stanley,BRM
1976,Louis Stanley,BRM
1977,Louis Stanley,BRM
1958,Ken Gregory,BRP
1959,Ken Gregory,BRP
1960,Ken Gregory,BRP
1961,Ken Gregory,BRP
1962,Ken Gregory,BRP
1963,Ken Gregory,BRP
1964,Ken Gregory,BRP
1986,Peter Collins,Benetton
1987,Peter Collins,Benetton
1988,Peter Collins,Benetton
1989,Flavio Briatore,Benetton
1990,Flavio Briatore,Benetton
1991,Flavio Briatore,Benetton
1992,Flavio Briatore,Benetton
1993,Flavio Briatore,Benetton
1994,Flavio Briatore,Benetton
1995,Flavio Briatore,Benetton
1996,Flavio Briatore,Benetton
1997,Flavio Briatore,Benetton
1998,David Richards,Benetton
1999,David Richards,Benetton
2000,David Richards,Benetton
2001,Flavio Briatore,Benetton
1962,Jack Brabham,Brabham
1963,Jack Brabham,Brabham
1964,Jack Brabham,Brabham
1965,Jack Brabham,Brabham
1966,Jack Brabham,Brabham
1967,Jack Brabham,Brabham
1968,Jack Brabham,Brabham
1969,Jack Brabham,Brabham
1970,Jack Brabham,Brabham
1971,Ron Tauranac,Brabham
1972,Bernie Ecclestone,Brabham
1973,Bernie Ecclestone,Brabham
1974,Bernie Ecclestone,Brabham
1975,Bernie Ecclestone,Brabham
1976,Bernie Ecclestone,Brabham
1977,Bernie Ecclestone,Brabham
1978,Bernie Ecclestone,Brabham
1979,Bernie Ecclestone,Brabham
1980,Bernie Ecclestone,Brabham
1981,Bernie Ecclestone,Brabham
1982,Bernie Ecclestone,Brabham
1983,Bernie Ecclestone,Brabham
1984,Bernie Ecclestone,Brabham
1985,Bernie Ecclestone,Brabham
1986,Bernie Ecclestone,Brabham
1987,Bernie Ecclestone,Brabham
1988,Herbie Blash,Brabham
1989,Joachim Luhti,Brabham
1990,Joachim Luhti,Brabham
1991,Joachim Luhti,Brabham
1992,Joachim Luhti,Brabham
2009,Ross Brawn,Brawn
2026,Mario Andretti,Cadillac
2012,Tony Fernandes,Caterham
2013,Cyril Abiteboul,Caterham
2014,Cyril Abiteboul,Caterham
1950,John Cooper,Cooper
1951,John Cooper,Cooper
1952,John Cooper,Cooper
1953,John Cooper,Cooper
1954,John Cooper,Cooper
1955,John Cooper,Cooper
1956,John Cooper,Cooper
1957,John Cooper,Cooper
1958,John Cooper,Cooper
1959,John Cooper,Cooper
